in s,C1 in V
-5.9836723E-02,3.98730E+00
-5.9835802E-02,3.99707E+00
-5.9834880E-02,4.00684E+00
-5.9833958E-02,4.00684E+00
-5.9833037E-02,3.99707E+00
-5.9832115E-02,3.98730E+00
-5.9831194E-02,3.96777E+00
-5.9830272E-02,3.94824E+00
-5.9829350E-02,3.97754E+00
-5.9828429E-02,3.99707E+00
-5.9827507E-02,3.96777E+00
-5.9826586E-02,3.99707E+00
-5.9825664E-02,4.02637E+00
-5.9824742E-02,3.97754E+00
-5.9823821E-02,3.98730E+00
-5.9822899E-02,3.98730E+00
-5.9821978E-02,3.97754E+00
-5.9821056E-02,3.97754E+00
-5.9820134E-02,3.98730E+00
-5.9819213E-02,3.99707E+00
-5.9818291E-02,4.00684E+00
-5.9817370E-02,3.97754E+00
-5.9816448E-02,3.97754E+00
-5.9815526E-02,3.97754E+00
-5.9814605E-02,3.99707E+00
-5.9813683E-02,3.97754E+00
-5.9812762E-02,3.96777E+00
-5.9811840E-02,4.02637E+00
-5.9810918E-02,3.98730E+00
-5.9809997E-02,4.02637E+00
-5.9809075E-02,3.95801E+00
-5.9808154E-02,4.00684E+00
-5.9807232E-02,3.95801E+00
-5.9806310E-02,3.99707E+00
-5.9805389E-02,3.97754E+00
-5.9804467E-02,3.99707E+00
-5.9803546E-02,3.99707E+00
-5.9802624E-02,3.96777E+00
-5.9801702E-02,3.97754E+00
-5.9800781E-02,3.95801E+00
-5.9799859E-02,3.94824E+00
-5.9798938E-02,3.97754E+00
-5.9798016E-02,3.97754E+00
-5.9797094E-02,3.98730E+00
-5.9796173E-02,3.96777E+00
-5.9795251E-02,3.97754E+00
-5.9794330E-02,3.99707E+00
-5.9793408E-02,3.96777E+00
-5.9792486E-02,3.94824E+00
-5.9791565E-02,3.96777E+00
-5.9790643E-02,3.91895E+00
-5.9789722E-02,3.94824E+00
-5.9788800E-02,3.97754E+00
-5.9787878E-02,3.92871E+00
-5.9786957E-02,3.97754E+00
-5.9786035E-02,3.98730E+00
-5.9785114E-02,3.96777E+00
-5.9784192E-02,3.94824E+00
-5.9783270E-02,3.97754E+00
-5.9782349E-02,3.96777E+00
-5.9781427E-02,3.95801E+00
-5.9780506E-02,3.96777E+00
-5.9779584E-02,3.94824E+00
-5.9778662E-02,3.97754E+00
-5.9777741E-02,3.96777E+00
-5.9776819E-02,3.95801E+00
-5.9775898E-02,3.93848E+00
-5.9774976E-02,3.94824E+00
-5.9774054E-02,3.94824E+00
-5.9773133E-02,3.95801E+00
-5.9772211E-02,3.97754E+00
-5.9771290E-02,3.97754E+00
-5.9770368E-02,3.91895E+00
-5.9769446E-02,3.93848E+00
-5.9768525E-02,3.98730E+00
-5.9767603E-02,3.94824E+00
-5.9766682E-02,3.96777E+00
-5.9765760E-02,3.96777E+00
-5.9764838E-02,3.96777E+00
-5.9763917E-02,3.96777E+00
-5.9762995E-02,3.95801E+00
-5.9762074E-02,3.94824E+00
-5.9761152E-02,3.95801E+00
-5.9760230E-02,3.90918E+00
-5.9759309E-02,3.94824E+00
-5.9758387E-02,3.90918E+00
-5.9757466E-02,3.92871E+00
-5.9756544E-02,3.94824E+00
-5.9755622E-02,3.93848E+00
-5.9754701E-02,3.92871E+00
-5.9753779E-02,3.93848E+00
-5.9752858E-02,3.90918E+00
-5.9751936E-02,3.94824E+00
-5.9751014E-02,3.94824E+00
-5.9750093E-02,3.95801E+00
-5.9749171E-02,3.92871E+00
-5.9748250E-02,3.92871E+00
-5.9747328E-02,3.95801E+00
-5.9746406E-02,3.92871E+00
-5.9745485E-02,3.94824E+00
-5.9744563E-02,3.87988E+00
-5.9743642E-02,3.92871E+00
-5.9742720E-02,3.92871E+00
-5.9741798E-02,3.91895E+00
-5.9740877E-02,3.92871E+00
-5.9739955E-02,3.87988E+00
-5.9739034E-02,3.89941E+00
-5.9738112E-02,3.88965E+00
-5.9737190E-02,3.91895E+00
-5.9736269E-02,3.93848E+00
-5.9735347E-02,3.90918E+00
-5.9734426E-02,3.91895E+00
-5.9733504E-02,3.91895E+00
-5.9732582E-02,3.90918E+00
-5.9731661E-02,3.89941E+00
